FPC Code,Mfg,Frame Name Cat,Color,Material,Mkd A,Mkd DBL,Tpl,,,,,,,,,,,,,,,
409717001278,PERC,MCGEE JERI,AQUA CRYSTAL,PLASTIC,53,18,138,,,,,,,,,,,,,,,
409717001650,PERC,MCGEE KARINE,BLACK,PLASTIC,52,16,130,,,,,,,,,,,,,,,
409717001667,PERC,MCGEE KARINE,BROWN,PLASTIC,52,16,130,,,,,,,,,,,,,,,
409717001452,PERC,MCGEE LELA,BLACK,PLASTIC,52,15,135,,,,,,,,,,,,,,,
409717001469,PERC,MCGEE LELA,CABERNET,PLASTIC,52,15,135,,,,,,,,,,,,,,,
409717001865,PERC,MCGEE LENA,EBONY,PLASTIC,52,16,135,,,,,,,,,,,,,,,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            
409717001872,PERC,MCGEE LENA,MIDNIGHT,PLASTIC,52,16,135,,,,,,,,,,,,,,,
409717001629,PERC,MCGEE VERA BRADLEY LORRAINE,PETAL PAISLEY,METAL,52,15,135,,,,,,,,,,,,,,,
409717001735,PERC,MCGEE LUCETTE,BLACK,PLASTIC,53,16,135,,,,,,,,,,,,,,,
409717001742,PERC,MCGEE LUCETTE,PLUM,PLASTIC,53,16,135,,,,,,,,,,,,,,,
409717001926,PERC,MCGEE VERA BRADLEY LYNN,BITTERSWEET,METAL,54,17,135,,,,,,,,,,,,,,,
409717001780,PERC,MCGEE MARCELLA S.,PINK SWIRLS,PLASTIC,51,17,135,,,,,,,,,,,,,,,
409717001797,PERC,MCGEE MARCELLA S.,ZIGGY ZINNIA,PLASTIC,51,17,135,,,,,,,,,,,,,,,
409717001605,PERC,MCGEE MARCELLE,BROWN,PLASTIC,52,15,135,,,,,,,,,,,,,,,
409717001612,PERC,MCGEE MARCELLE,WINE,PLASTIC,52,15,135,,,,,,,,,,,,,,,
409717001575,PERC,MCGEE MARIAH,OLIVA PINK,PLASTIC,55,13,130,,,,,,,,,,,,,,,
409717001537,PERC,MCGEE MARIAH,HEATHER,PLASTIC,55,13,130,,,,,,,,,,,,,,,
409717001292,PERC,MCGEE MELODIE,AQUA CRYSTAL,PLASTIC,52,16,130,,,,,,,,,,,,,,,
409717001308,PERC,MCGEE MELODIE,SLATE CRYSTAL,PLASTIC,52,16,130,,,,,,,,,,,,,,,
409717000271,PERC,REM EYEWEAR NEWSPRINT,BLACK,PLASTIC,54,17,140,,,,,,,,,,,,,,,
409717000288,PERC,REM EYEWEAR NEWSPRINT,NAVY,PLASTIC,54,17,140,,,,,,,,,,,,,,,
409717001322,PERC,MCGEE NOELLE,BROWN,PLASTIC,52,15,140,,,,,,,,,,,,,,,
409717001315,PERC,MCGEE NOELLE,BLACK,PLASTIC,52,15,140,,,,,,,,,,,,,,,
409717000554,PERC,REM EYEWEAR P001 UF,BLACK STRIPE,PLASTIC,49,19,145,,,,,,,,,,,,,,,
409717000561,PERC,REM EYEWEAR P001 UF,SMOKE,PLASTIC,49,19,145,,,,,,,,,,,,,,,
409717000578,PERC,REM EYEWEAR P002 UF,BLACK STRIPE,PLASTIC,46,22,150,,,,,,,,,,,,,,,
409717000592,PERC,REM EYEWEAR P002 UF,YELLOW CRYSTAL,PLASTIC,46,22,150,,,,,,,,,,,,,,,
409717000585,PERC,REM EYEWEAR P002 UF,BROWN HORN,PLASTIC,46,22,150,,,,,,,,,,,,,,,
409717000608,PERC,REM EYEWEAR P003 UF,BLACK STRIPE,PLASTIC,51,18,145,,,,,,,,,,,,,,,
409717000622,PERC,REM EYEWEAR P003 UF,CRYSTAL,PLASTIC,51,18,145,,,,,,,,,,,,,,,
409717000615,PERC,REM EYEWEAR P003 UF,BROWN HORN,PLASTIC,51,18,145,,,,,,,,,,,,,,,
409717000486,PERC,REM EYEWEAR P006 UF,TORTOISE,PLASTIC,51,19,140,,,,,,,,,,,,,,,
409717000493,PERC,REM EYEWEAR P006 UF,WHITE TORTOISE,PLASTIC,51,19,140,,,,,,,,,,,,,,,
409717000479,PERC,REM EYEWEAR P006 UF,BLACK,PLASTIC,51,19,140,,,,,,,,,,,,,,,
409717000509,PERC,REM EYEWEAR P007 UF,BLACK,PLASTIC,48,19,140,,,,,,,,,,,,,,,
409717000516,PERC,REM EYEWEAR P007 UF,TORTOISE,PLASTIC,48,19,140,,,,,,,,,,,,,,,
409717000530,PERC,REM EYEWEAR P008 UF,TORTOISE,PLASTIC,45,21,145,,,,,,,,,,,,,,,
409717000547,PERC,REM EYEWEAR P008 UF,YELLOW CRYSTAL,PLASTIC,45,21,145,,,,,,,,,,,,,,,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        
409717000523,PERC,REM EYEWEAR P008 UF,BLACK STRIPE,PLASTIC,45,21,145,,,,,,,,,,,,,,,
409717001445,PERC,MCGEE PAM,LOLA,PLASTIC,52,15,135,,,,,,,,,,,,,,,
409717001421,PERC,MCGEE PAM,RIBBONS,PLASTIC,52,15,135,,,,,,,,,,,,,,,
409717000882,PERC,L'AMY AMERCIA PANTHER LAKE,DARK NAVY,METAL,59,19,155,,,,,,,,,,,,,,,
409717000875,PERC,L'AMY AMERCIA PANTHER LAKE,GUNMETAL,METAL,59,19,155,,,,,,,,,,,,,,,
409717001223,PERC,MCGEE VERA BRADLEY PAULA,PAISLEY MEETS PLAID,PLASTIC,50,16,130,,,,,,,,,,,,,,,
409717001384,PERC,MCGEE VERA BRADLEY PEGGY,JAZZY BLOOMS,METAL,52,16,135,,,,,,,,,,,,,,,
409717000325,PERC,REM EYEWEAR Q001,BLACK/BROWN,METAL,54,18,140,,,,,,,,,,,,,,,
409717000318,PERC,REM EYEWEAR Q001,BLACK/RED,METAL,54,18,140,,,,,,,,,,,,,,,
409717000387,PERC,REM EYEWEAR Q004,BROWN,PLASTIC,51,15,135,,,,,,,,,,,,,,,
409717000370,PERC,REM EYEWEAR Q004,BLACK,PLASTIC,51,15,135,,,,,,,,,,,,,,,
409717000394,PERC,REM EYEWEAR Q005,BLACK,PLASTIC,51,18,140,,,,,,,,,,,,,,,
409717000400,PERC,REM EYEWEAR Q005,PURPLE,PLASTIC,51,18,140,,,,,,,,,,,,,,,
409717000332,PERC,REM EYEWEAR Q006,BLACK,METAL,52,15,135,,,,,,,,,,,,,,,
409717000349,PERC,REM EYEWEAR Q006,GUNMETAL,METAL,52,15,135,,,,,,,,,,,,,,,
409717000448,PERC,REM EYEWEAR Q013,NAVY,METAL,51,18,135,,,,,,,,,,,,,,,
409717000431,PERC,REM EYEWEAR Q013,BLACK,METAL,51,18,135,,,,,,,,,,,,,,,
409717000653,PERC,REM EYEWEAR Q017,BLACK,METAL,53,17,145,,,,,,,,,,,,,,,
409717000660,PERC,REM EYEWEAR Q017,NAVY,METAL,53,17,145,,,,,,,,,,,,,,,
409717000684,PERC,REM EYEWEAR Q018,NAVY,PLASTIC,54,17,140,,,,,,,,,,,,,,,
409717000677,PERC,REM EYEWEAR Q018,BLACK,PLASTIC,54,17,140,,,,,,,,,,,,,,,
409717000646,PERC,REM EYEWEAR Q019,BROWN,METAL,53,15,140,,,,,,,,,,,,,,,
409717000639,PERC,REM EYEWEAR Q019,BLACK,METAL,53,15,140,,,,,,,,,,,,,,,
409717000738,PERC,REM EYEWEAR Q020 UF,BLACK,PLASTIC,51,15,135,,,,,,,,,,,,,,,
409717000745,PERC,REM EYEWEAR Q020 UF,BROWN,PLASTIC,51,15,135,,,,,,,,,,,,,,,
409717000721,PERC,REM EYEWEAR Q021,PURPLE,METAL,51,16,135,,,,,,,,,,,,,,,
409717000714,PERC,REM EYEWEAR Q021,BLACK,METAL,51,16,135,,,,,,,,,,,,,,,
409717000707,PERC,REM EYEWEAR Q024,NAVY,PLASTIC,54,17,140,,,,,,,,,,,,,,,
409717000691,PERC,REM EYEWEAR Q024,BLACK,PLASTIC,54,17,140,,,,,,,,,,,,,,,
409717001193,PERC,MCGEE RACHELLE,ROSY POSIES,PLASTIC,53,15,125,,,,,,,,,,,,,,,
409717001186,PERC,MCGEE RACHELLE,CAMELLIA,PLASTIC,53,15,125,,,,,,,,,,,,,,,
409717000301,PERC,REM EYEWEAR STENCIL KIT,NAVY,METAL,49,18,135,,,,,,,,,,,,,,,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    
409717000295,PERC,REM EYEWEAR STENCIL KIT,BLACK,METAL,49,18,135,,,,,,,,,,,,,,,
409717000905,PERC,L'AMY AMERCIA STEWART PEAK,BLACK,METAL,59,19,150,,,,,,,,,,,,,,,
409717000899,PERC,L'AMY AMERCIA STEWART PEAK,GUNMETAL,METAL,59,19,150,,,,,,,,,,,,,,,
409717000769,PERC,L'AMY AMERCIA SUBLIMITY 140,NAVY,METAL,53,18,140,,,,,,,,,,,,,,,
409717000752,PERC,L'AMY AMERCIA SUBLIMITY 140,GUNMETAL,METAL,53,18,140,,,,,,,,,,,,,,,
409717001544,PERC,MCGEE TABITHA,HEATHER,METAL,50,16,135,,,,,,,,,,,,,,,
